pitch_variability,pause_ratio,speaking_rate,pitch_mean,jitter,voice_distress_z
22.41,0.2527,3.84,160.8,0.01751,0.199
26.7,0.188,3.71,160.4,0.00895,-0.405
19.78,0.2129,3.47,163.8,0.01491,0.347
14.4,0.3591,2.79,184.9,0.02125,1.777
23.12,0.2259,3.53,183.0,0.01158,0.047
23.64,0.1456,3.06,153.4,0.01551,-0.057
21.21,0.4199,2.79,199.0,0.02462,1.672
22.27,0.3163,2.95,162.5,0.01681,0.847
23.88,0.1437,3.62,152.3,0.00742,-0.491
18.37,0.2686,3.15,183.8,0.018,0.817
27.51,0.2376,4.38,178.8,0.00966,-0.565
27.66,0.2028,4.58,177.8,0.01235,-0.62
23.77,0.2445,3.53,148.2,0.01287,0.236
34.01,0.05,4.51,158.0,0.01451,-1.637
33.24,0.0506,4.2,177.3,0.01153,-1.512
27.75,0.1433,4.05,165.6,0.01182,-0.692
29.74,0.05,4.69,148.9,0.01346,-1.609
17.83,0.3331,3.35,175.6,0.02083,1.096
28.53,0.1354,3.39,154.3,0.01467,-0.586
30.06,0.0947,4.58,191.9,0.01173,-1.377
16.29,0.3642,3.09,205.8,0.02373,1.559
31.21,0.168,3.25,174.1,0.01043,-0.53
24.36,0.2193,3.62,186.2,0.00969,0.037
31.21,0.05,4.52,166.0,0.01034,-1.707
28.84,0.2566,3.88,176.5,0.00968,-0.275
24.36,0.1817,3.3,188.5,0.01485,-0.105
31.17,0.0636,4.54,168.7,0.00879,-1.58
23.15,0.24,3.27,165.7,0.01901,0.451
31.42,0.2115,3.48,139.4,0.01426,-0.439
23.34,0.1914,3.15,163.8,0.01206,0.173
28.26,0.1104,4.31,177.4,0.012,-1.13
11.96,0.4554,2.77,201.4,0.02515,2.198
25.19,0.2479,3.63,172.6,0.01281,0.083
27.98,0.1358,4.05,156.9,0.01526,-0.623
18.64,0.3309,2.99,145.2,0.01647,1.072
30.12,0.1937,3.95,157.6,0.0074,-0.63
24.8,0.3283,3.36,162.9,0.01578,0.575
36.62,0.05,4.04,160.3,0.01297,-1.81
28.81,0.1521,4.11,174.3,0.00864,-0.964
23.03,0.255,3.4,197.1,0.01137,0.292
18.52,0.3138,3.38,175.7,0.01533,0.862
20.54,0.1694,3.49,163.8,0.0112,-0.061
24.2,0.2016,3.9,161.1,0.01103,-0.377
25.04,0.1574,4.17,166.9,0.0112,-0.668
36.99,0.1053,4.73,152.6,0.01005,-1.836
28.83,0.1909,4.14,166.8,0.00973,-0.708
23.78,0.091,3.86,171.8,0.01131,-0.695
17.06,0.3248,2.72,180.8,0.02096,1.431
24.15,0.2992,3.63,176.0,0.0138,0.418
37.87,0.05,5.07,171.5,0.01548,-2.183
